what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300703597320
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300703616499
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300703643596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300703682629
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300703686212
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300703688576
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300703688844
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300703698806
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300703717228
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300703719717
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300703722997
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300703723162
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1300703726261
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300703726696
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300703726697
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.close",1300703726722
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300703727610
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300703727611
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.close",1300703727649
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1300703730083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300703730824
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1300703734905
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1300703735839
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1300703743435
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1300703744374
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300703778390
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300703801525
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300703801783
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300703803090
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300703837593
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300703840638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300703850479
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300703853099
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300703855121
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300703856244
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300703861847
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300703868456
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300703869138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300703872487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1300703872545
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300703876623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300703884035
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300703884427
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300703884738
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300703915338
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300703918952
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300703963080
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300703965144
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300703967255
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300703975951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704025301
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704030171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704037361
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300704037702
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300704037852
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300704092248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704093704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704093903
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704095684
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300704099921
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300704109570
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1300704116972
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300704129179
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300704132945
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300704140981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704144512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704156894
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704159114
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704161229
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704165862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704173937
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300704174272
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300704174375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300704194060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704195329
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704198493
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300704201400
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1300704202609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1300704203582
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300704206821
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300704238463
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300704246414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704249671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704255144
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1300704265909
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1300704266685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704278252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704279942
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300704291752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704293177
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300704294791
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300704298802
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300704300401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704303679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704305242
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300704324935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300704345047
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300704346891
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300704349793
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300704363795
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300704366153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704389919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704628062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300704656249
